Episode,Blue_Score,Red_Score,Blue_Patched,Red_Infected
310,34,38,6,3
311,86,1,7,1
312,70,11,7,1
313,75,13,7,1
314,52,27,6,3
315,68,27,6,3
316,33,3,6,1
317,29,28,7,2
318,68,0,7,0
319,61,15,7,1
320,52,7,7,2
321,57,13,7,1
322,70,11,7,2
323,57,-2,6,0
324,42,31,7,3
325,52,41,7,4
326,44,21,7,2
327,100,13,7,1
328,36,29,6,3
329,84,-2,7,0
330,40,21,7,2
331,73,-2,7,0
332,94,0,7,0
333,82,15,7,1
334,87,24,7,3
335,69,11,7,1
336,46,12,7,2
337,47,13,6,1
338,81,13,7,2
339,55,16,7,2
340,81,-2,7,0
341,66,9,7,2
342,39,22,7,3
343,60,8,6,1
344,56,13,7,2
345,87,-2,7,0
346,64,28,7,2
347,51,18,7,2
348,81,15,7,1
349,67,32,7,4
350,69,11,7,2
351,63,-3,7,1
352,28,12,6,2
353,39,30,7,2
354,94,-2,7,0
355,46,41,7,4
356,43,16,7,2
357,51,21,6,2
358,18,9,7,2
359,51,13,7,3
360,34,27,7,5
361,51,33,7,3
362,55,6,6,1
363,38,3,7,1
364,64,-4,7,0
365,81,15,7,1
366,40,17,6,3
367,72,11,7,1
368,74,28,7,3
369,76,0,7,0
370,64,43,7,3
371,77,21,7,4
372,63,42,7,4
373,67,26,7,4
374,48,0,7,0
375,40,29,6,3
376,27,13,6,1
377,53,-1,7,1
378,65,18,7,2
379,31,13,7,2
380,81,34,7,4
381,95,3,7,1
382,54,14,6,3
383,79,26,7,3
384,37,13,6,1
385,50,0,7,0
386,65,18,6,2
387,57,15,7,1
388,96,28,7,2
389,66,13,7,1
390,48,27,7,3
391,56,19,6,2
392,56,0,7,0
393,42,0,7,0
394,31,3,7,1
395,33,28,7,2
396,57,11,7,1
397,38,9,7,2
398,75,13,7,1
399,81,11,7,1
400,46,23,6,4
401,61,37,7,4
402,39,45,6,3
403,58,19,6,3
404,48,28,7,3
405,46,23,6,2
406,83,13,7,1
407,56,27,7,3
408,18,18,6,2
409,31,29,7,4
410,82,-4,7,0
411,61,-5,7,1
412,56,28,7,3
413,46,36,7,4
414,10,23,6,2
415,47,26,7,3
416,67,15,7,1
417,61,11,7,1
418,33,47,7,6
419,56,23,7,2
420,76,22,7,3
421,66,26,7,3
422,55,21,7,2
423,51,24,7,3
424,42,12,7,2
425,35,16,7,2
426,9,0,5,0
427,45,18,7,2
428,42,13,7,1
429,55,4,7,1
430,66,18,7,2
431,79,-2,7,0
432,60,39,7,4
433,54,8,7,2
434,47,40,7,5
435,40,12,6,3
436,70,15,7,3
437,34,18,7,2
438,48,43,7,3
439,65,-2,7,0
440,16,49,6,5
441,73,29,7,3
442,67,12,7,2
443,74,-2,7,0
444,79,38,7,3
445,35,6,7,1
446,17,15,6,1
447,46,16,7,2
448,43,6,7,1
449,81,35,7,3
450,74,18,7,2
451,62,-4,7,0
452,55,7,7,2
453,62,14,7,2
454,62,18,7,2
455,73,13,7,1
456,42,-2,7,0
457,52,0,6,0
458,65,0,7,0
459,84,13,7,1
460,67,3,7,1
461,68,13,7,1
462,34,13,5,1
463,52,15,7,1
464,61,0,7,0
465,36,8,7,1
466,57,16,6,2
467,16,6,7,1
468,70,23,7,2
469,59,22,7,3
470,56,26,7,2
471,64,15,7,1
472,43,-4,6,0
473,43,32,7,4
474,50,23,7,3
475,57,20,7,2
476,54,33,6,3
477,69,14,6,2
478,29,-2,7,0
479,48,12,7,2
480,62,-2,7,0
