Episode,RL_Team,Random_Agent,Greedy_Agent,Q_States
292,62,50,63,3569
293,75,50,88,3577
294,52,42,40,3589
295,108,49,55,3591
296,51,63,65,3604
297,61,12,25,3615
298,89,37,42,3618
299,76,42,38,3622
300,54,30,46,3642
301,54,68,54,3658
302,37,0,50,3664
303,94,25,51,3673
304,102,5,55,3676
305,8,23,54,3686
306,52,21,49,3695
307,90,29,59,3701
308,29,3,20,3708
309,83,43,69,3709
310,113,64,33,3711
311,71,6,66,3716
312,70,19,21,3728
313,78,12,64,3736
314,109,31,47,3739
315,54,52,79,3746
316,87,14,59,3749
317,82,31,68,3754
318,38,35,65,3756
319,59,21,55,3763
320,64,37,32,3777
321,73,15,58,3783
322,9,65,58,3802
323,93,6,58,3804
324,61,-21,61,3806
325,97,45,68,3811
326,88,32,57,3817
327,40,23,67,3818
328,82,13,50,3823
329,88,15,53,3831
330,92,17,54,3835
331,44,41,64,3840
332,81,36,58,3844
333,37,22,46,3853
334,80,49,59,3856
335,83,44,47,3866
336,106,43,46,3873
337,23,22,52,3877
338,40,34,60,3891
339,74,38,20,3899
340,56,25,40,3901
341,74,34,64,3909
342,81,63,56,3912
343,43,49,64,3923
344,37,25,81,3931
345,56,37,60,3943
346,61,43,67,3952
347,12,51,33,3961
348,52,26,75,3965
349,81,16,60,3969
350,49,20,47,3976
351,66,-34,70,3989
352,100,54,71,3995
353,38,-16,83,4001
354,81,17,46,4006
355,70,35,59,4009
356,38,35,48,4019
357,83,28,59,4021
358,38,10,50,4034
359,35,36,66,4046
360,85,25,37,4049
361,94,51,8,4055
362,28,13,56,4072
363,36,32,76,4080
364,46,29,26,4084
365,42,12,47,4088
366,66,11,35,4091
367,57,10,81,4099
368,83,50,54,4105
369,54,73,34,4107
370,43,17,68,4117
371,75,27,76,4120
372,76,21,60,4123
373,52,32,76,4132
374,34,32,64,4140
375,61,41,66,4148
376,74,48,69,4152
377,74,25,66,4162
378,57,18,44,4175
379,61,6,48,4176
380,70,13,52,4180
381,45,17,103,4186
382,83,21,49,4191
383,90,57,62,4193
384,50,30,59,4201
385,39,41,49,4208
386,74,-1,56,4212
387,120,34,64,4218
388,67,40,20,4221
389,79,25,54,4234
390,106,35,27,4237
391,37,16,71,4246
392,59,38,53,4251
393,41,11,66,4262
394,54,26,47,4265
395,34,-12,49,4271
396,11,15,83,4282
397,66,14,57,4288
398,55,14,67,4291
399,63,24,47,4293
400,95,-14,77,4296
401,54,28,57,4301
402,55,52,62,4312
403,26,39,80,4315
404,99,37,47,4319
405,10,14,54,4333
406,94,17,81,4339
407,66,29,87,4340
408,81,-6,56,4343
409,77,13,45,4352
410,70,6,56,4355
411,89,-16,92,4360
412,78,27,31,4364
413,43,20,61,4370
414,70,10,60,4372
415,73,28,65,4381
416,36,28,36,4389
417,81,60,42,4393
418,86,25,56,4399
419,71,3,92,4404
420,23,-8,47,4418
421,71,13,66,4421
422,61,17,62,4427
423,60,36,74,4434
424,81,21,54,4438
425,59,33,39,4443
426,95,42,59,4449
427,33,51,19,4455
428,53,31,79,4460
429,76,50,46,4463
430,31,27,56,4464
431,57,5,79,4468
432,37,53,40,4475
433,48,38,61,4486
434,108,20,42,4490
435,97,6,23,4495
436,80,9,45,4500
437,46,7,47,4503
438,80,12,66,4508
439,115,41,54,4515
440,75,19,50,4519
441,89,17,64,4520
442,88,48,64,4522
443,41,34,46,4534
444,36,24,60,4542
445,43,-3,54,4550
446,94,22,69,4553
447,61,63,57,4555
448,66,48,87,4561
449,97,54,64,4564
450,99,35,74,4567
451,41,-18,35,4570
452,40,54,51,4578
453,99,56,40,4581
454,86,40,64,4584
455,45,34,58,4588
456,44,22,59,4595
457,60,56,47,4600
458,68,42,41,4606
459,82,5,34,4609
460,53,44,60,4620
461,30,32,63,4623
462,56,38,16,4626
463,65,41,57,4632
464,62,17,51,4638
465,66,56,73,4648
466,76,28,28,4648
467,54,14,101,4651
468,72,5,48,4655
469,56,10,31,4660
470,53,29,65,4664
471,78,16,58,4666
472,103,-3,55,4666
473,56,58,62,4684
474,79,37,99,4687
475,63,30,37,4689
476,50,30,56,4702
477,34,38,65,4704
478,63,12,50,4707
479,10,30,40,4713
480,93,38,51,4716
481,31,15,45,4728
482,110,25,60,4728
483,65,2,32,4730
484,76,61,62,4732
485,11,7,60,4743
486,31,19,53,4744
487,81,15,36,4748
488,41,40,37,4751
489,48,72,57,4754
490,75,24,55,4755
491,47,30,73,4771
492,55,23,77,4777
493,103,17,52,4781
494,64,7,36,4789
495,62,53,51,4794
496,84,16,62,4799
497,51,11,54,4803
498,59,54,61,4807
499,92,29,64,4807
500,45,20,56,4816
501,43,51,68,4818
502,33,42,35,4826
503,79,30,64,4828
504,2,12,51,4831
505,67,23,62,4838
506,86,8,77,4842
507,52,37,36,4847
508,82,50,61,4854
509,36,27,36,4860
510,70,2,71,4865
511,88,8,44,4866
512,48,28,45,4875
513,102,38,35,4876
514,36,45,63,4889
515,55,31,77,4890
516,74,38,56,4890
517,26,39,84,4896
518,73,19,30,4901
519,124,33,46,4904
520,2,-5,33,4911
521,54,6,57,4922
522,45,11,73,4925
523,52,63,83,4939
524,62,20,58,4942
525,47,30,75,4951
526,27,11,62,4967
527,56,19,60,4972
528,51,50,65,4977
529,37,32,33,4984
530,95,43,51,4986
531,57,12,34,4989
532,56,7,64,4990
533,96,24,42,4992
534,71,28,78,4996
535,44,26,51,5000
536,73,52,61,5002
537,44,37,88,5008
538,108,2,59,5008
539,90,55,47,5014
540,95,11,53,5019
541,108,-2,50,5019
542,85,-3,61,5023
543,51,50,28,5034
544,51,-15,49,5038
545,43,31,44,5044
546,59,14,70,5048
547,102,26,60,5054
548,23,34,64,5060
549,84,7,51,5063
550,64,-22,57,5069
551,93,-15,43,5073
552,63,49,56,5075
553,63,27,31,5081
554,8,53,49,5090
555,51,24,23,5100
556,53,13,76,5104
557,98,40,56,5106
558,86,19,75,5107
559,59,50,89,5117
560,67,48,63,5121
561,50,38,63,5128
562,52,6,39,5132
563,71,19,61,5134
564,27,20,26,5141
565,31,43,53,5141
566,43,18,54,5145
567,90,-3,61,5146
568,95,7,30,5146
569,75,48,62,5147
570,67,19,54,5153
571,31,7,75,5166
572,80,4,72,5168
573,57,25,56,5172
574,99,35,74,5175
575,51,3,50,5176
576,74,43,37,5182
577,69,45,61,5186
578,58,35,48,5188
579,64,4,54,5192
580,51,42,64,5193
581,60,56,64,5197
582,86,2,51,5199
583,70,28,69,5209
584,23,18,46,5209
585,68,43,56,5213
586,24,47,65,5221
587,57,30,53,5223
588,44,10,50,5226
589,10,49,49,5228
590,75,58,58,5229
591,57,70,78,5242
592,54,43,48,5251
593,93,22,57,5253
594,30,22,67,5255
595,28,50,49,5264
596,87,22,67,5266
597,46,-15,60,5271
598,38,34,84,5274
599,85,-4,66,5279
600,49,27,63,5283
601,40,-4,38,5286
602,51,39,58,5286
603,29,0,45,5290
604,79,32,88,5292
605,42,6,52,5303
606,70,-3,53,5308
607,58,46,54,5317
608,77,25,48,5323
609,72,23,48,5326
610,71,79,62,5329
611,21,15,53,5335
612,65,29,60,5338
613,91,25,39,5342
614,96,34,61,5343
615,37,13,48,5348
616,72,55,46,5351
617,54,35,71,5355
618,52,50,46,5360
619,101,1,47,5363
620,78,-9,91,5364
621,18,9,35,5369
622,39,38,38,5372
623,78,55,63,5385
624,21,34,34,5406
625,25,15,43,5417
626,52,-13,29,5428
627,75,-9,57,5431
628,57,21,69,5435
629,100,37,55,5435
630,49,9,47,5440
631,42,49,57,5444
632,100,44,68,5448
633,34,45,38,5460
634,28,9,49,5462
635,87,45,62,5465
636,50,23,44,5470
637,64,29,29,5473
638,59,41,69,5475
639,122,35,77,5476
640,30,5,75,5478
641,49,38,45,5484
642,28,21,84,5489
643,61,34,61,5494
644,98,9,54,5495
645,63,22,77,5498
646,75,39,84,5501
647,26,25,51,5523
648,46,44,33,5526
649,61,54,58,5529
650,82,18,16,5531
651,60,4,31,5532
652,60,-2,84,5544
653,67,50,48,5546
654,111,40,67,5548
655,109,41,58,5550
656,29,13,58,5553
657,53,47,44,5565
658,70,53,28,5568
659,91,48,73,5571
660,69,41,33,5571
661,88,53,58,5575
662,92,50,26,5576
663,49,32,61,5578
664,57,6,19,5582
665,29,20,37,5593
666,77,-5,70,5594
667,21,38,59,5600
668,36,68,56,5609
669,59,71,59,5613
670,14,62,41,5628
671,28,18,88,5632
672,45,-24,53,5643
673,19,38,48,5657
674,38,51,52,5662
675,66,29,67,5671
676,103,29,45,5672
677,50,44,53,5679
678,51,14,36,5690
679,73,11,45,5694
680,-4,24,36,5700
681,11,11,54,5705
682,39,35,57,5712
683,76,55,34,5716
684,55,23,75,5719
685,60,29,37,5719
686,75,4,27,5724
687,20,43,66,5728
688,50,0,42,5729
689,49,5,76,5736
690,64,42,69,5738
691,47,15,38,5744
692,87,35,31,5748
693,87,49,75,5752
694,79,40,43,5756
695,65,24,50,5758
696,54,7,71,5764
697,46,46,43,5769
698,74,-1,63,5771
699,22,34,48,5775
700,1,50,98,5780
701,61,23,51,5786
702,87,-24,24,5787
703,85,53,73,5792
704,60,7,49,5793
705,73,38,46,5798
706,73,40,52,5804
707,78,42,81,5813
708,71,-24,36,5818
709,41,17,54,5821
710,79,22,43,5821
711,-12,57,71,5830
712,19,29,59,5836
713,51,2,49,5840
714,41,25,60,5843
